Title,Authors,Published Date,Description,Page Count,Categories,Category
The Usable Past,"Keith S. Brown, Yannis Hamilakis",2003,"In this volume, scholars of history, archaeology and anthropology explore the located and contextual nature of historical narratives, analysing contested historical rituals, building style, and traditions, .",260.0,Drama,Drama
Othello,William Shakespeare,2012-02-29,"Mit dem Werkbeitrag aus Kindlers Literatur Lexikon. Mit dem Autorenporträt aus dem Metzler Lexikon Weltliteratur. Mit Daten zu Leben und Werk, exklusiv verfasst von der Redaktion der Zeitschrift für Literatur TEXT + KRITIK. Das Venedig der Renaissance ist ein Schmelztiegel der Kulturen, eine reiche Handelstadt, die Begehrlichkeiten weckt. Othello ist damit beauftragt, die Flotte der kleinen Republik in den Krieg zu führen. Die Venezianer vertrauen dem »Mohr« zwar die Sicherheit ihrer Stadt, nicht jedoch ihre Töchter an. Die Liebe Othellos zu der schönen Desdemona steuert, durch eine Intrige vergiftet, auf eine Tragödie zu.",247.0,Drama,Drama
A Doll's House,Henrik Ibsen,2018-01-09,"The classic play about a woman’s fight for independence and her desire to break free of her role as housewife. One of the best-known, most frequently performed modern plays, A Doll’s House richly displays the genius with which Henrik Ibsen pioneered realistic prose drama. The central character, Nora, epitomizes the human struggle against the humiliating constraints of social conformity. Her ultimate rejection of a smothering marriage and life in a “doll’s house” shocked theatergoers of the late nineteenth century and opened new horizons for playwrights and their audiences. However, daring social themes are only one aspect of Ibsen’s power as a dramatist. A Doll’s House demonstrates his ability to create realistic dialogue and a suspenseful flow of events, and bring to life the psychologically penetrating characterizations that make the struggles of his dramatic personages utterly convincing. Here is a deeply absorbing dramatic work as readable as it is eminently playable. This ebook has been professionally proofread to ensure accuracy and readability on all devices.",117.0,Drama,Drama
Romeo and Juliet,William Shakespeare,2001,The classic tragedy about the doomed young lovers is accompanied by historical and critical notes.,180.0,Drama,Drama
The Mystery of the Yellow Room,Gaston LeRoux,2021-01-01,"It all began one Sunday afternoon around three years ago. At home by myself, I was lounging on the couch and zapping idly across TV, young and carefree and looking for my kicks. Suddenly, I fell onto the start of an episode of Columbo. It drew me in and I watched it to the end, and after that I'd try and catch another episode whenever I could. Hi-tech procedural cop shows like CSI Wherever never appealed to me, but Columbo's top-drawer plots, writing and characters, plus a dazzling first episode directed by a certain young S. Spielberg, got me hooked. Betweentimes, lesser but no less entertaining detective shows like The Mentalist and Castle scratched the itch.",250.0,Drama,Drama
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,2016-10-26,"The Importance of Being Earnest, A Trivial Comedy for Serious People is a farcical comedy in which the protagonists maintain fictitious personæ to escape burdensome social obligations. Working within the social conventions of late Victorian London, the play's major themes are the triviality with which it treats institutions as serious as marriage, and the resulting satire of Victorian ways. Contemporary reviews all praised the play's humour, though some were cautious about its explicit lack of social messages, while others foresaw the modern consensus that it was the culmination of Wilde's artistic career so far. Its high farce and witty dialogue have helped make The Importance of Being Earnest Wilde's most enduringly popular play.",108.0,Drama,Drama
Salomé,Oscar Wilde,2008-08-15,Salome: A Tragedy in One Act (1891) is a play by Wilde. It presents the Biblical tale of the stepdaughter of Herod Antipas whose dancing caused the death of John the Baptist (Mark 6:21-29). The play explores Salome's two-fold desire to retain her virginity and to destroy male sexuality. Richard Strauss's opera was based on Wildes version of the Salome story.,74.0,,Drama
Timon of Athens,William Shakespeare,2014-11-12,"An extravagantly open-handed citizen of ancient Greece is disillusioned to discover that his friends fail to reciprocate his gifts in this deeply cynical drama, a tale of debt, ruin, and misanthropy.",96.0,Drama,Drama
As You Like It,William Shakespeare,2024-03-14,"With a foreword by Talia Hibbert, author of Get a Life, Chloe Brown ‘We that are true lovers run into strange capers’ Banished from her ambitious uncle’s court, the lovesick Rosalind flees to the forest with her cousin, Celia. Disguised as the handsome shepherd Ganymede and simple shepherdess Aliena, the two soon meet the dashing Orlando – forced into hiding by a plot against his life, heartbroken at the separation from his beloved Rosalind. Fooled by Rosalind’s disguise, Orlando grows close to ‘Ganymede’. But Phoebe, a local shepherdess, also has her eye on Ganymede. As their hopes and dreams entangle, can everyone get what they want? As You Like It is Shakespeare’s brilliant gender swapping, fake dating classic comedy of errors. Discover STAGED, a limited collection of Shakespeare’s unabridged plays that celebrates the genius of the Bard and the tropes that continue to delight YA readers to this day. Explore the rest of the STAGED collection: Hamlet – With a foreword by Faridah Àbíké-Íyímídé Macbeth – With a foreword by Kat Delacorte A Midsummer Night’s Dream – With a foreword by Becky Albertalli Much Ado About Nothing – With a foreword by Holly Bourne Romeo and Juliet – With a foreword by Jennifer Niven",163.0,Young Adult Fiction,Drama
The Comedy of Errors,William Shakespeare,2002,"This new modern-spelling edition of Shakespeare's The Comedy of Errors includes a full introduction by Charles Whitworth that discusses the probable occasion of its first performance in 1594, its multiple sources, and its uneven critical and theatrical history. A full text of Plautus's comedy Menï¿½chmus, and extracts from Gesta Gragorum and the Geneva Bible are included in appendices.",232.0,Drama,Drama
Bacchae,Euripides,1960,"This new translation of ""The Bacchae--""that strange blend of Aeschylean grandeur and Euripidean finesse--is an attempt to reproduce for the American stage the play as it most probably was when new and unmutilated in 406 B.C. The achievement of this aim involves a restoration of the ""great lacuna"" at the climax and the discovery of several primary stage effects very likely intended by Euripides. These effects and controversial questions of the composition and stylistics are discussed in the notes and the accompanying essay.",328.0,Drama,Drama
Shakespeare,Germaine Greer,1986,"A clear introduction to Shakespeare's plays, this volume examines them in detail and shows how Shakespeare dramatized moral and intellectual issues in such a way that his audience became dazzlingly aware of an imaginative dimension to daily life. Germaine Greer argues that as long as Shakespeare's work remains central to English cultural life, it will retain the values which make it unique in the world.",152.0,Drama,Drama
Faust,Johann Wolfgang von Goethe,1974,"Goethe fue un poeta, novelista, dramaturgo y cientifico aleman que ayudo a fundar el romanticismo, movimiento al que influencio profundamente. En palabras de George Eliot fue el mas grande hombre de letras aleman... y el ultimo verdadero hombre universal que camino sobre la tierra. Su obra, que abarca generos como la novela, la poesia lirica, el drama e incluso controvertidos tratados cientificos, dejo una profunda huella en importantes escritores, compositores, pensadores y artistas posteriores, siendo incalculable en la filosofia alemana posterior y constante fuente de inspiracion para todo tipo de obras.""",188.0,Drama,Drama
A Guidebook of Statistical Software for the Social and Behavioral Sciences,"Ned Clayton Silver, James B. Hittner",1998,"Over 400 descriptions of statistical computer programs are described in one easy-to-use volume. Written in a user-friendly manner, this reference includes author and key word indices for easy accessibility.",484.0,Juvenile Nonfiction,Social Science
Justice and Egalitarian Relations,Christian Schemmel,2021,"""Why does equality matter, as a social and political value, and what does it require? Relational egalitarians argue that it does not primarily require that people receive equal distributive shares of some good, but that they relate as equals. This book develops a liberal conception of relational equality, which understands relations of non-domination and egalitarians norms of social status as stringent demands of social justice. First, it argues that expressing respect for the freedom and equality of individuals in social cooperation requires stringent protections against domination; develops a substantive, liberal conception of non-domination; and argues that non-domination is a particularly important, but not the only, concern of social justice. These features set it apart from, and provide it with crucial advantages over, neo-republican accounts of non-domination. Second, the book develops an account of the wrongness of inegalitarian norms of social status, which shows how status-induced foreclosure of important social opportunities is a social injustice in its own right, over and above the role of status inequality in enabling domination, and the threats it poses to individuals' self-respect. Finally, it works out the implications of liberal relational egalitarianism for political, economic, and health justice, showing that it demands, in practice, far-reaching forms of equality in all three domains. In so doing, the book draws on, and brings together, several different literatures: on social justice and liberalism, distributive and relational equality, the distinct value of social equality, and neo-republicanism and non-domination""--",337.0,Philosophy,Social Science
Toward a Biocritical Sociology,John William Neuhaus,1996,"Works such as ""The Bell Curve"" imply that any biosocial approach to social science is necessarily Social Darwinist or reactionary. ""Toward a Biocritical Sociology"" suggests the opposite: a biosocial sociology stressing species commonalities opens a site for a distinctively critical social science discourse. Neuhaus shows the relevance of current research in ethology, sociobiology, and evolutionary ethics for the development of a critical biosocial sociology. In developing his own -biocritical- approach, Neuhaus argues that debates over social problems, as well as controversies surrounding the communitarian analyses of Robert Bellah, Amitai Etzioni and Alasdair MacIntyre, may be helpfully analyzed and conceptually unpacked by making use of a critical biosocial perspective.""",232.0,Philosophy,Social Science
Modernization and Stress in Japan,Toyomasa FusÉ,1975,No description available,112.0,"Economic Conditions, 1945-",Social Science
Planning in India,Basudeb Sahoo,1990,No description available,140.0,India,Social Science
Frauen im Mittelalter,Edith Ennen,1994,No description available,348.0,Social,Social Science
Handbook in Research and Evaluation,"Stephen Isaac, William Burton Michael",1982,No description available,234.0,Education,Social Science
Społeczeństwo Polski współczesnej,Zdzisław Zagórski,1993,No description available,264.0,Income,Social Science
Policy Development,Wazir Singh,1972,No description available,234.0,Social Science,Social Science
A Guidebook of Statistical Software for the Social and Behavioral Sciences,"Ned Clayton Silver, James B. Hittner",1998,"Over 400 descriptions of statistical computer programs are described in one easy-to-use volume. Written in a user-friendly manner, this reference includes author and key word indices for easy accessibility.",484.0,Juvenile Nonfiction,Social Science
Basics of Biblical Greek Grammar,William D. Mounce,2019-02-05,"Clear. Understandable. Carefully organized. Basics of Biblical Greek Grammar by William D. Mounce is the standard textbook for colleges and seminaries. Since its initial publication in 1993 its integrated approach has helped more than 250,000 students learn New Testament Greek. The fourth edition of Basics of Biblical Greek Grammar has been updated throughout based on continuing feedback from professors, students, self-learners, and homeschoolers, making it even more effective for today’s students. As well, improvements have been made based on recent developments in scholarship. The key to the effectiveness of Basics of Biblical Greek Grammar in helping students learn is in how it introduces them to the language. Students learn about the features of the Greek language in a logical order, with each lesson building upon the one before it. Unnecessary obstacles that discourage students and hinder progress are removed, such as rote memorization of endless verbal paradigms. Instead students receive encouragement along the way to assure them they are making the necessary progress. As well, detailed discussions are included at key junctures to help students grasp important concepts. By the time students have worked their way through Basics of Biblical Greek Grammar they will have learned: The Greek Alphabet Vocabulary for words occurring 50 times or more in the Greek New Testament The Greek noun system The Greek verbal system, including indicative and nonindicative verbs, and participles A robust suite of learning aids is available for purchase to be used alongside the textbook to help students excel in their studies. These include a workbook, video lectures for each chapter featuring the author, flashcards keyed to vocabulary in each chapter, a laminated quick study sheet with key concepts, and audio of the vocabulary for each chapter to aid in acquisition.",544.0,Religion,Religion
The A to Z of Hinduism,Bruce M. Sullivan,2001,"With a history of over three and a half millennia, and over 800 million adherents, Hinduism is one of the world's largest and most diverse religious traditions. This book presents the Hindu religious tradition's major events, individuals, texts, sects, and concepts in the context of its historical development through various periods. In addition, sacred Hindu pilgrimage sites, the rituals performed as religious practices, the manifestations of Hindu religious sensibilities in biography, art, the caste system of social organization, mythology, and the theories of salvation developed through the history of Hinduism are also presented. A pronunciation guide to Sanskrit and Tamil, and a chronology of the history of Hinduism are included.",274.0,Religion,Religion
Dark Night of the Soul,St. John of the Cross,2010-04,"In Dark Night of the Soul, Saint John of the Cross presents for us a portrait painted from his own experience of one who advances successfully through the struggles of the spiritual life. The dark night that St John describes is not abandonment by God but special consideration from Him for those who desire to purify and perfect their souls. With a soul purified from earthly attachments, we can advance through the much quoted but oft misunderstood dark night of the souls into unity with God. By accepting the desolation and difficulty of this process, the soul cooperates with God and opens itself to receiving and revealing more perfectly God's glory. Be not afraid--Dark Night of the Soul, though austere and exacting in its instructions for holy living, is laced with St. John's charity and kindness, his love of all things beautiful and sacred--including you.",209.0,Religion,Religion
Islam and Democracy,"John L. Esposito, John Obert Voll",1996,"Are Islam and democracy on a collision course? Do Islamic movements seek to ""hijack democracy?"" How have governments in the Muslim world responded to the many challenges of Islam and democracy today? A global religious resurgence and calls for greater political participation have been major forces in the post-Cold War period. Across the Muslim world, governments and Islamic movements grapple with issues of democratization and civil society. Islam and Democracy explores the Islamic sources (beliefs and institutions) relevant to the current debate over greater political participation and democratization. Esposito and Voll use six case studies--Algeria, Egypt, Iran, Malaysia, Pakistan, and Sudan--to look at the diversity of Muslim experiences and experiments. At one end of the spectrum, Iran and Sudan represent two cases of militant, revolutionary Islam establishing political systems. In Pakistan and Malaysia, however, the new movements have been recognized and made part of the political process. Egypt and Algeria reveal the coexistence of both extremist and moderate Islamic activism and demonstrate the complex challenges confronting ruling elites. These case studies prove that despite commonalities, differing national contexts and identities give rise to a multiplicity of agendas and strategies. This broad spectrum of case studies, reflecting the multifaceted relationship of Islam and Democracy, provides important insight into the powerful forces of religious resurgence and democratization which will inevitably impact global politics in the twenty first century.",241.0,Language Arts & Disciplines,Religion
The Myth of Disenchantment,Jason Ananda Josephson Storm,2017-05-16,"A great many theorists have argued that the defining feature of modernity is that people no longer believe in spirits, myths, or magic. Jason Ā. Josephson-Storm argues that as broad cultural history goes, this narrative is wrong, as attempts to suppress magic have failed more often than they have succeeded. Even the human sciences have been more enchanted than is commonly supposed. But that raises the question: How did a magical, spiritualist, mesmerized Europe ever convince itself that it was disenchanted? Josephson-Storm traces the history of the myth of disenchantment in the births of philosophy, anthropology, sociology, folklore, psychoanalysis, and religious studies. Ironically, the myth of mythless modernity formed at the very time that Britain, France, and Germany were in the midst of occult and spiritualist revivals. Indeed, Josephson-Storm argues, these disciplines’ founding figures were not only aware of, but profoundly enmeshed in, the occult milieu; and it was specifically in response to this burgeoning culture of spirits and magic that they produced notions of a disenchanted world. By providing a novel history of the human sciences and their connection to esotericism, The Myth of Disenchantment dispatches with most widely held accounts of modernity and its break from the premodern past.",428.0,History,Religion
The Shaolin Monastery,Meir Shahar,2008-01-10,"This meticulously researched and eminently readable study considers the economic, political, and religious factors that led Shaolin monks to disregard the Buddhist prohibition against violence and instead create fighting techniques that by the 21st century have spread throughout the world.",298.0,History,Religion
Samaritan Documents,John Bowman,1977-01-01,"The present volume of documents relating to Samaritan history, religion, and life is intended as a companion to 'The Samaritan Problem', Pittsburgh Monograph Series, Number 4, as giving translations of texts by Samaritan authors mentioned therein. But this is not the only aim of this work. It attempts to make accessible, in English, examples from a variety of Samaritan documents which provide us with a firsthand picture of Samaritan views about their history, their religion, and hopes for the future.",388.0,Religion,Religion
The Taming of the Shrew,William Shakespeare,2008-07-30,"Can a man tame an ill-tempered woman? Petruchio thinks he is up to the task in The Taming of the Shrew. William Shakespeare (1564 ż 1616) is the most influential writer in English history. Shakespeare has been called The Barb of Avon and Englandżs national poet. There are 2 narrative poems, 154 sonnets and 38 plays in his collected works. He began work as an actor and writer in London first writing comedies and historic plays. He later wrote tragedies. Romeo and Juliet, MacBeth and Othello are some of his more famous plays. The Taming of the Shrew was an early comedy. The play begins with a drunken man who is deceived into thinking he is a nobleman. He then watches this play in which the noble Petruchio married an outspoken ill-tempered woman. Katherine is eventually tamed to the will be Petruchio. The play has been adapted into opera, stage plays and screen plays. Cole Porterżs play Kiss Me Kate is one instance",160.0,Drama,Religion
Pilgrimage to the End of the World,Conrad Rudolph,2004-05-19,"Traveling two and a half months and one thousand miles along the ancient route through southern France and northern Spain, Conrad Rudolph made the passage to the holy site of Santiago de Compostela, one of the most important modern-day pilgrimage destinations for Westerners. In this chronicle of his travels to this captivating place, Rudolph melds the ancient and the contemporary, the spiritual and the physical, in a book that is at once travel guide, literary work, historical study, and memoir.",145.0,Art,Religion
"Pope Gregory VII, 1073-1085",H. E. J. Cowdrey,1998-08-20,"The reign of Pope Gregory VII (1073-85), who gave his name to an era of Church reform, is critically important in the history of the medieval church and papacy. Thus it is surprising that this is the first comprehensive biography to appear in any language for over fifty years. H. E. J. Cowdrey presents Gregory's life and work in their entirety, tracing his career from early days as a clerk of the Roman Church, through his political negotiations, ecclesiastical governance, and final exile at Salerno. Full account is taken of his turbulent relations with King Henry IV of Germany, from his first deposition and excommunication in 1076, to the absolution at Canossa and the imposition of a second sentence in 1080. Pope Gregory was also a contemporary of William the Conqueror, and, as the author shows, fully supported his conquest of England. Gregory VII is presented as an individual whose deep inner belief in iustitia (righteousness) did not waver in the face of new circumstances, although his broad outlook underwent changes. Deeply committed to the traditions of the past and especially to those of Pope Gregory the Great, his reign prepared the way for an age of strong papal monarchy in the western Church.",762.0,History,Religion
Weight of Glory,C. S. Lewis,2001-03-20,"Selected from sermons delivered by C. S. Lewis during World War II, these nine addresses offer guidance and inspiration in a time of great doubt.These are ardent and lucid sermons that provide a compassionate vision of Christianity.",208.0,Religion,Religion
Behold the Pierced One,Joseph Ratzinger,2011-01-18,"In this profound and illuminating work, Joseph Cardinal Ratzinger turns the gaze of an accomplished theologian upon the crucified Savior. This synthetic and meditative work is theological without being abstract or dry, and spiritual without being sentimental. The pierced heart of Christ must be the heart of theology and Christian life as well. Proceeding from the prayerful dialogue between the Incarnate Son and his Eternal Father, Joseph Ratzinger shows how one can approach the mystery of the Heart of Christ only through the imitation of this prayer. To know and understand Jesus we must participate in his prayer. The prayer of Christ must be the interior life of all who are joined to him in his Body, the Church. Using the Old and New Testaments and the Church Fathers, Ratzinger shows that the ecclesial community (the Church) was born from the pierced Heart of Christ on the Cross.",140.0,Religion,Religion
A Course in Miracles,"Helen Schucman, Scribe",2008-05,"""The only edition that contains in one place all of the writings that Dr. Helen Schucman, its Scribe, authorized to be printed""--P. [4] of cover.",1356.0,"Body, Mind & Spirit",Religion
Yoga,Mircea Eliade,1958,"In this landmark book the renowned scholar of religion Mircea Eliade lays the groundwork for a Western understanding of Yoga, exploring how its guiding principle, that of freedom, involves remaining in the world without letting oneself be exhausted by such ""conditionings"" as time and history. Drawing on years of study and experience in India, Eliade provides a comprehensive survey of Yoga in theory and practice from its earliest foreshadowings in the Vedas through the twentieth century. The subjects discussed include Patañjali, author of the Yoga-sutras; yogic techniques, such as concentration ""on a Single Point,"" postures, and respiratory discipline; and Yoga in relation to Brahmanism, Buddhism, Tantrism, Oriental alchemy, mystical erotism, and shamanism.",564.0,Health & Fitness,Religion
The Individual and the Cosmos in Renaissance Philosophy,Ernst Cassirer,2010-04,"This provocative volume, one of the most important interpretive works on the philosophical thought of the Renaissance, has long been regarded as a classic in its field. Ernst Cassirer here examines the changes brewing in the early stages of the Renaissance, tracing the interdependence of philosophy, language, art, and science; the newfound recognition of individual consciousness; and the great thinkers of the period—from da Vinci and Galileo to Pico della Mirandola and Giordano Bruno. The Individual and the Cosmos in Renaissance Philosophy discusses the importance of fifteenth-century philosopher Nicholas Cusanus, the concepts of freedom and necessity, and the subject-object problem in Renaissance thought. “This fluent translation of a scholarly and penetrating original leaves little impression of an attempt to show that a ‘spirit of the age’ or ‘spiritual essence of the time’ unifies and expresses itself in all aspects of society or culture.”—Philosophy",215.0,Biography & Autobiography,Religion
A Catholic Introduction to the Bible,"John Bergsma, Brant Pitre",2018-09-04,"Although many Catholics are familiar with the four Gospels and other writings of the New Testament, for most, reading the Old Testament is like walking into a foreign land. Who wrote these forty-six books? When were they written? Why were they written? What are we to make of their laws, stories, histories, and prophecies? Should the Old Testament be read by itself or in light of the New Testament? John Bergsma and Brant Pitre offer readable in-depth answers to these questions as they introduce each book of the Old Testament. They not only examine the literature from a historical and cultural perspective but also interpret it theologically, drawing on the New Testament and the faith of the Catholic Church. Unique among introductions, this volume places the Old Testament in its liturgical context, showing how its passages are employed in the current Lectionary used at Mass. Accessible to nonexperts, this thorough and up-to-date introduction to the Old Testament can serve as an idea textbook for biblical studies. Its unique approach, along with its maps, illustrations, and other reference materials, makes it a valuable resource for seminarians, priests, Scripture scholars, theologians, and catechists, as well as anyone seeking a deeper understanding of the Bible.",1066.0,Religion,Religion
What Is Islam?,Shahab Ahmed,2015-11-17,"A bold new conceptualization of Islam that reflects its contradictions and rich diversity What is Islam? How do we grasp a human and historical phenomenon characterized by such variety and contradiction? What is ""Islamic"" about Islamic philosophy or Islamic art? Should we speak of Islam or of islams? Should we distinguish the Islamic (the religious) from the Islamicate (the cultural)? Or should we abandon ""Islamic"" altogether as an analytical term? In What Is Islam?, Shahab Ahmed presents a bold new conceptualization of Islam that challenges dominant understandings grounded in the categories of ""religion"" and ""culture"" or those that privilege law and scripture. He argues that these modes of thinking obstruct us from understanding Islam, distorting it, diminishing it, and rendering it incoherent. What Is Islam? formulates a new conceptual language for analyzing Islam. It presents a new paradigm of how Muslims have historically understood divine revelation—one that enables us to understand how and why Muslims through history have embraced values such as exploration, ambiguity, aestheticization, polyvalence, and relativism, as well as practices such as figural art, music, and even wine drinking as Islamic. It also puts forward a new understanding of the historical constitution of Islamic law and its relationship to philosophical ethics and political theory. A book that is certain to provoke debate and significantly alter our understanding of Islam, What Is Islam? reveals how Muslims have historically conceived of and lived with Islam as norms and truths that are at once contradictory yet coherent.",629.0,Social Science,Religion
Creating a New Medina,Venkat Dhulipala,2015-02-09,This book challenges the fundamental assumptions regarding the foundations of Pakistani nationalism during colonial rule in India.,553.0,History,Religion
Images of Nebuchadnezzar,Ronald Herbert Sack,2004,"Images of Nebuchadnezzar attempts to probe the diversity of cultural attitudes reflected in the characterizations of this famous king through an examination of both the original cuneiform sources as well as the accounts of chronographers written in Greek, Roman, and medieval times. Included in this revised and expanded second edition are two new chapters that examine both Nebuchadnezzar's administrative policies and the impact that his death had on both contemporary and later cultures. Both the positive and negative images of the king are explored, with conclusions being developed as to what the authors of the various surviving accounts actually thought the king really was. In the process, the whole nature of historiography in the ancient world is analyzed, and a number of broad conclusions are developed. Anyone who has ever read Second Kings or the books of Daniel and Jeremiah of the Old Testament is familiar with the name of Nebuchadnezzar, the king of Babylon who conquered the kingdom of Judah and destroyed Solomon's temple. As the second member of the Chaldean dynasty of Mesopotamia (626-539 B.C.), he ruled for forty-three years (605-562 B.C.), during which time he also led military campaigns into Syria and Lebanon. He also organized a number of building projects that were to transform Babylon into one of the seven wonders of the ancient world. Among his noteworthy achievements were the construction of massive fortification walls around Babylon, the refurbishing of Marduk's temple in the city, and the building of huge palaces that served as the king's residences. Tales of these legendary achievements, as well as those of his father, Nabopolassar (626-605 B.C.), also found their way into the narratives of a number of Greek, Roman, and medieval historians and chronographers many centuries later. Unfortunately, much of the record of Nebuchadnezzar's achievements that was written in his own time has not survived. Instead, only secondary accounts of his military campaigns or his construction projects in Babylon written in Greek, Latin, Hebrew, or Arabic are available for analysis. These stories vary greatly in content and emphasis and, in many cases, distort much of what we know from Nebuchadnezzar's own sources. The Hebrews, for example, described Nebuchadnezzar's siege of Jerusalem in such a way as to consider it something that should never again be repeated. The Greeks, on the other hand, saw the building projects in Babylon as evidence of almost superhuman achievements, as monuments that were the result of efforts by a king who was almost godlike. Why, then, is there such diversity in the characterizations of Nebuchadnezzar? This book proposes answers to these questions.",202.0,Biography & Autobiography,Religion
Myth and Method,"Laurie L. Patton, Wendy Doniger",1996,"In confronting these tension, they provide an outline of the most troubling questions in the field and offer a variety of responses to them.",436.0,Religion,Religion
A History of Arabic Astronomy,George Saliba,1995-07-01,"A History of Arabic Astronomy is a comprehensive survey of Arabic planetary theories from the eleventh century to the fifteenth century based on recent manuscript discoveries. George Saliba argues that the medieval period, often called a period of decline in Islamic intellectual history, was scientifically speaking, a very productive period in which astronomical theories of the highest order were produced. Based on the most recent manuscript discoveries, this book broadly surveys developments in Arabic planetary theories from the eleventh century to the fifteenth. Taken together, the primary texts and essays assembled in this book reverse traditional beliefs about the rise and fall of Arabic science, demonstrating how the traditional “age of decline” in Arabic science was indeed a “Golden Age” as far as astronomy was concerned. Some of the techniques and mathematical theorems developed during this period were identical to those which were employed by Copernicus in developing his own non-Ptolemaic astronomy. Significantly, this volume will shed much-needed light on the conditions under which such theories were developed in medieval Islam. It clearly demonstrates the distinction that was drawn between astronomical activities and astrological ones, and reveals, contrary to common perceptions about medieval Islam, the accommodation that was obviously reached between religion and astronomy, and the degree to which astronomical planetary theories were supported, and at times even financed, by the religious community itself. This in stark contrast to the systematic attacks leveled by the same religious community against astrology. To students of European intellectual history, the book reveals the technical relationship between the astronomy of the Arabs and that of Copernicus. Saliba’s definitive work will be of particular interest to historians of Arabic science as well as to historians of medieval and Renaissance European science.",352.0,Religion,Religion
Mohammed and the Rise of Islam,David S. Margoliouth,2010-01-01,"This classic biography is not a religious text designed to either celebrate or denigrate Islam. It looks at Mohammed as a towering figure of culture and politics, a man who achieved the extraordinary: uniting disparate Arab tribes into a more cohesive whole. This book remains an important work for anyone wishing to understand the roots of one of the most intractable sociopolitical divides-between East and West, Muslim and Christian-still haunting the world today. Author David S. Margoliouth (1858-1940), a professor of Arabic at Oxford University, worked from primary Arabic texts and omitted ""all anecdotes that are obviously or most probably fabulous,"" resulting in a clear-headed history of a highly contentious moment in time.",566.0,History,Religion
An Introduction to Buddhist Ethics,Peter Harvey,2000-06-22,A systematic introduction to Buddhist ethics aimed at anyone interested in Buddhism.,504.0,Religion,Religion
Theme of the Pentateuch,David J. A. Clines,1997-01-08,"This popular textbook regards the Pentateuch as a literary whole, with a single theme that binds it together. The overarching theme is the partial fulfilment of the promises to the patriarchs. Though the method of the book is holistic, the origin and growth of the theme is also explored using the methods of traditional source analysis. An important chapter explores the theological function of the Pentateuch both in the community for which the Pentateuch was first composed and in our own time. For this second, enlarged edition, the author has written an Epilogue reassessing the theme of the Pentateuch from a more current postmodern perspective.",178.0,Religion,Religion
The Varieties of Religious Experience,William James,1936,"""The Varieties of Religious Experience is certainly the most notable of all books in the field of the psychology of religion and probably destined to be the most influential [one] written on religion in the twentieth century,"" said Walter Houston Clark in Psychology Today. The book was an immediate bestseller upon its publication in June 1902. Reflecting the pluralistic views of psychologist-turned-philosopher William James, it posits that individual religious experiences, rather than the tenets of organized religions, form the backbone of religious life. James's discussion of conversion, repentance, mysticism, and hope of reward and fears of punishment in the hereafter--as well as his observations on the religious experiences of such diverse thinkers as Voltaire, Whitman, Emerson, Luther, Tolstoy, and others--all support his thesis. ""James's characteristic humor, his ability to put down the pretentious and to be unpretentious, and his willingness to take some risks in his choices of ancedotal data or provocative theories are all apparent in the book,"" noted Professor Martin E. Marty. ""A reader will come away with more reasons to raise new questions than to feel that old ones have been resolved.""",556.0,Philosophy,Religion
The Day the Revolution Began,N. T. Wright,2016-10-11,"The renowned scholar, Anglican bishop, and bestselling author widely considered to be the heir to C. S. Lewis contemplates the central event at the heart of the Christian faith—Jesus’ crucifixion—arguing that the Protestant Reformation did not go far enough in transforming our understanding of its meaning. In The Day the Revolution Began, N. T. Wright once again challenges commonly held Christian beliefs as he did in his acclaimed Surprised by Hope. Demonstrating the rigorous intellect and breathtaking knowledge that have long defined his work, Wright argues that Jesus’ death on the cross was not only to absolve us of our sins; it was actually the beginning of a revolution commissioning the Christian faithful to a new vocation—a royal priesthood responsible for restoring and reconciling all of God’s creation. Wright argues that Jesus’ crucifixion must be understood within the much larger story of God’s purposes to bring heaven and earth together. The Day the Revolution Began offers a grand picture of Jesus’ sacrifice and its full significance for the Christian faith, inspiring believers with a renewed sense of mission, purpose, and hope, and reminding them of the crucial role the Christian faith must play in protecting and shaping the future of the world.",229.0,Religion,Religion
Paths to God,Ram Dass,2004,"A companion to the Bhagavad Gita offers a series of reflections on the major themes of the classic Hindu texts, translating the ancient teachings into principles for contemporary Western life and making its wisdom relevant to modern life. 30,000 first printing.",360.0,"BODY, MIND & SPIRIT",Religion
Western Society and the Church in the Middle Ages,R. W. Southern,1990-08-16,"The concept of an ordered human society, both religious and secular, as an expression of a divinely ordered universe was central to medieval thought. In the West the political and religious community were inextricably bound together, and because the Church was so intimately involved with the world, any history of it must take into account the development of medieval society. Professor Southern's book covers the period from the eighth to the sixteenth century. After sketching the main features of each medieval age, he deals in greater detail with the Papacy, the relations between Rome and her rival Constantinople, the bishops and archbishops, and the various religious orders, providing in all a superb history of the period.",0.0,Religion,Religion
